sentence,hate,category
তোর মায়ের ভোদা দিয়া কি তুই জন্ম হয়েছোচ না পুটকি দিয়া তোর মা বোনরে কুত্তা দিয়া চোদাই খানকির পুত তুই সব সময় এমন উল্টা পাল্টা জিনিস ছারোছ তো কি জিব্বায় তোর মায়ের মাসিক লাগাইছোচ নাকি কুত্তার চোদায় জন্ম তোর জিব্বা বড় এমন লেহাইয়া লেহাইয়া জিব্বায় বাজাইয়া কথা চোদাছ কেনো,1,sports
তুই হালা,1,sports
এটা আস্থা মিডিয়ার মাগী । ওনি এখন ইসলামের বোরকার নিছে হান্দাইছে । বেহেশতের পুরুষ হুুঁরের অপেক্ষায়। ওনার এখন নাম আমাতুল্লাহ । ওনি বলেছিলেন কখনো বিয়ে করবেন না। শালী এখন হুজুরেরে বিয়ে করেছেন।,1,sports
এই পৃথিবীতে কে এত ভালো মানুষ আছে যারা মধ্যে মেয়ে মানুষের চাওয়া নেই যত সব ফালতু খবর মানুষ জনের খেদে দেএ কাজ নেই মানুষের বেকেতি বেপার নিয়ে এদের মাথা ব্যাথা,1,sports
তুই মাদারচোদ পদত্যাগ করলেই তো হয়। তুই পদত্যাগ করিস না কেন। তুই নিজে তো ধ্বংস করে দিচ্ছিস। একজন জুয়াড়িকে তোর বন্ধু বলতেছিস। গাঞ্জা খায়নি জীবন বলতেছিস। শেষ পর্যন্ত সে জুয়ার সাথে জড়িত জেলহাজতে আছে এখন।,1,sports
এজন্য সাকিবের কোটি পাবে বিজ্ঞাপন করে সেটার জন্য কোটি টাকা লস করবে বাংলাদেশ ক্রিকেট টিম??সাকিবের এতো নিজের সার্থ দেখে কেন?এতো লোভ ভালো না তিন তিন টা খেলায় সে জুয়াড়িদের সাথে কন্ট্রাক্ট রাখছে আই সি সি যে জানায় না কারন কি?জুয়াড়িরা কি সাকিবের দুলা দুলাভাই?,1,sports
ওর ভাবসাব টা কি,1,sports
মাদার চোদরা একটাও ভালো না,1,sports
সালার বোকাচোদার যত সব টাইটেল,1,sports
এ কুত্তার বাচ্চাকে দল থেকে বাদ দেওয়া দরকার।,1,sports
এইসব বালের নিউজ দেন ক্যান। সালারা ভিউ বারানোর জন্য আর কতো মিথ্যা বলবি,1,sports
সালা একটা মাদার চোদ । ঠিক মতো পিটিয়ে হাড্ডিগোস্ত এক করা দরকার।,1,sports
অডমিন সালা এখানে কই বলছে হেপি তুমি কই সালা পাগল ছাগল কই থেকে আসে এগুলা ভিখা কর তাও মিথ্যা কথা কইস না,1,sports
পাপন খানকির পোলাসহমত হইলে লাইক দিন,1,sports
মুশফিক আমাদের বিনোদন দাতা।।।আহামরি কেউ না গালি দিলে ই কি বা না দিলেই কি কামলার বাচ্চা রা,1,sports
পাপন কে বহিষ্কার করা হোক হারামি সালা,1,sports
পাপনকে জুতা এরে ধরে না কে বঝলাম না এটাই কি ক্ষমতার দাপটওকে কে চিনে সালা,1,sports
তুর মাকে কত মানুসকে দিয়ে চুদাভি মাগির পুলা,1,sports
বাকোয়াচ থামনেল চোদাও সালা জোতচোর,1,sports
সালারে হরা আগে,1,sports
মাগি খোর সাব্বির কে বাদ দাও,1,sports
তোর মারে চুদি মাগির পুলা বেশশা মাগির পুলা,1,sports
কেন এই শালা পাপন শভাপতি থেকে সরায়না,1,sports
যে দেশের নাগরিক এখনো খালি পেটে থাকে সেই দেশে এই শালাদের কে কোটি কোটি টাকা বেতন দিয়ে বেপানা করার জন্য সুযোগ দিতেছে হায়রে বাঙালি জাতি কবে তোরা বুঝবি কবে তোরা শিখবি তোদের টাকা দিয়ে তাদেরকে বেতন দেয় কিন্তু তোরা খালি পেটে থাক অশিক্ষিত বাঙালি জাতি,1,sports
মেহেদী হাসান রানা যে বোকাচোদা বোলার তা তম ওভার দেখলেই বোঝাযায়।বার বার ওফ স্টাম্পের বাইরে বল করে ছয় খেয়েছে।,1,sports
পাপন মাদারচোদ 🖕😡😡,1,sports
"রুবেল হেপীরে লাগাইয়া জাইরা দিচোছ,,সালা মরলে বোজবে,?",1,sports
জীবনের প্রথমবার গালি দিচ্ছি ঃকোন কুত্তার বাচ্চা ডিস লাইক দিলি??,1,sports
"বাল শুনেছি তোমার আর -বলতে হবে না,",1,sports
মাগীরা বিয়ে করে পাবে একটা বিয়ে ছাড়া পাবে অনেক নিত্য নতুন এক ঢিলে দু পাখি। বিয়ে ছাড়া যদি আর্থিক আর দৈহিক দুটোই ছাড়ানো যায় তাহলে বিয়ের দরকার কি?,1,sports
বেয়াদব এর বাচ্চা খুব খারপ বেয়াদব সালা বেয়াদব লুইচ্চা 🙄 🐱,1,sports
"রুবেল শালা তুই চিটার,,,,,",1,sports
তর মতো বাইন্চোদরা বাংলাদেশ কে নষ্ট করছে কই বললিনা কখন সে খেলবে ইংলেন্ডের হয়ে,1,sports
বাল ছিল মাদার চুদ,1,sports
বাংলাদেশের ক্রিকেটার খেলা বন্ধ করে দেওয়াই ভালো। যে বালের খেলা খেলে।আবার বয়কট ও করছে!!!! হা হা হা। ভালো খেলে দেশের জন্য কিছু করে দেখাইয়া বেতন বাড়াইয়া চাও।লজ্জা করে না প্লেয়ারদের এসব করতে।আর পাপন সাহেব কেও বিসিবি থেকে বাদ দেওয়া হোক।উনিও ধোয়া তুলসি পাতা না।,1,sports
পাপন সাহেব উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,1,sports
আজাইরা হয়রানি। সবগুলা ছাগল,1,sports
সব শালারা চামচা মুসফিকুর রহিমের। এসব দালালি বাদ দাও কুকুরের বাচ্ছা এসব করে দেশটা নষ্ট করেছো শুধু নেতাদের তৈল মেরে মেরে,1,sports
এই পাপন কুত্তার চাচ্চা গালি দেওয়ার জন্য কেউ মন খারাপ করবেন না।,1,sports
সাকিব না খেল্লে কি হবে হালারপো তোরা আস্তা গাদা।।সাকিব কি হয়ে গেছে এমন ও একটা বেয়াদব।।বাব দেখায়,1,sports
ছোটো লোক যতই ধনী হোউক না কেনো সে যে ছোটো লোক চিরকাল ছোটো লোকই থেকে যায়।,1,sports
বাংলাদেশের খেলা জীবনেও দেখি না হালার বলদ গুলো খেলে,1,sports
পাপন খানকির পোলা এই সব কিছুর জন্য তুই দায়ী,1,sports
খেলায় রাজনৈতি ঢোকে গেছেন শালা মাদার চোদেরা আর কি করবি,1,sports
গালি দিছে তাই কি হইছে বালের খেলোয়ারকে,1,sports
শালারপুত পাপন তোর হাত আছে এখানে,1,sports
মাদারছোধ,1,sports
পাপন সালা তুই আসলেই খারাপ তোর পদত্যাগ চাই তুই সালা সব জানো তুই সালা বড় খারাপ চোর,1,sports
তুমি একটা নডির ছাওয়াল আশরাফুল তোর গুদে বাঁশ দিতে গেছে মাগীর পুর,1,sports
তাসকিন একটা মাদার চোদ্দ,1,sports
ভিডিও না দেখেই তোকে চুদতে আসলাম খানকির বাচ্চা,1,sports
পাপন কুতাবাচা,1,sports
এই শালার মাগীবাজি আর নতুন কি...?? শালারে পাছায় লাথি মাইরা দল থেকে বের করে দেওয়া উচিত। মাগিবাজ পোলাপান দিয়া আর যাই হোক ক্রিকেট হবে না।,1,sports
শয়তানের বাচ্চা রে জুতা দিয়া পিট,1,sports
সাকিব কে যোদি মাসের জন্য নিষিদ্ধ করে। তাহলে পাপনের জাত গুষ্টিরে গরু ছাগল দিয়ে। চোবো।,1,sports
আরে এদের মত পেলেয়ার দের রিজেক্ট দিয়ে দেন। নতুন করে টিম তৈরী করা হোক। শালারা ভাত পাই না চা চোদাই। পাপন ভাই রাইট কথা,1,sports
জার্সি পরা গাঁজাখোর সব ঝামেলা করতেছে শালার টুকাই ভদ্রতা বুঝোস না মানুষের সাথে কিভাবে কথা বলতে হয় গাঁজাখোর জার্সি পরা গাঁজাখোর,1,sports
খানকি মাগীর পোলা সবাই রিপোর্ট মারেন এই মাদার চোদের সব ভূয়া ভিডিও,1,sports
এই সমস্ত মিথ্যাবাদি ইউটিউবারদের জন্য আরমনে চাইনা একটু ইউটিউবে আসি সালা চুদমারানির দলসব,1,sports
এরে পাপন্না সাকিব কে নিয়ে কোনো বাজে কথা বলবেন্নাসাকিব সবার থেকে ভালো খেলেছেসাকিব দুই ইনিংস মিলিয়ে উইকেট নিয়েছেএটা সাকিবের নরমাল খেলাপ্রতিদিনতো সাকিব উইকেট নিবেনা ব্যাটিং এ সাকিব প্রথম ইনিংস এ রান করেছে দুর্ভাগ্যজনক ভাবে আউট হয়েছে য় ইনিংস এ দেখুন রানে অপরাজিতএবং ইনশাল্লা করবেসাকিব আর বাকিরা সব আবাল,1,sports
এই খানকির পোলা রুবেল কই গান গাইছে শুনা মাগির বাচ্চা তর মায়রে তুর বাপের কান্দে ফালাই চুদি ভোদার পোলা....next time no sorry mind it,1,sports
হেতে মাদারচোদ নাচির,1,sports
"শালাই প্রতি রাতে ৭ ইঞ্চি ধন দিয়া মাগি চুদে
",1,sports
উপরের কিছু কিছু কমেন্ট পড়লাম যে গুলো মানুষ নামে কিছু জানোয়ার কমেন্ট করছে কমেন্টএ এডমিন কে তার মা নিয়ে অনেক অশ্লিল গালি-গালাজ করছে যে গুলো কোনো মানুষ করতে পারেনা। আরে জানোয়ারের দল যিনি পোষ্ট করছেন তিনি যদি কিছু দোষ বা ভূল করছে সে করছে এতে তার মা কে অকট্য অশ্লিল ভাষায় গালি-গালাজ করতেছেন কেনো??? আপনারা কি জানেন প্রত্যেক মা- ই পৃথিবীর একেকটা জান্নাত।,1,sports
বাংগালী পাগলের দল,1,sports
রুবেল কে দেখতে চোরের মত লাগে হেপি আপু তুমি কি এর চেয়ে ভালো ছেলে মানুষ পাওয়া নি,1,sports
পাপন কুক্তার বাচ্চা তোর মারে চুদি শোয়ারের বাচ্চা,1,sports
সালা বাট পার চোর,1,sports
পাপন হইলো একটা কুত্তা সুদা,1,sports
গালি আমি দেই ওনেকে দেই তাে কি হইছে বাল ফালাবি গাজাখোর,1,sports
জে এই নিইজ টা ওরে পুটকি মারেন সবাই,1,sports
রুবেল একটা শয়তান,1,sports
সালাকে দেখা জায় কালো কাকে মত,1,sports
এ মাগীর বেটা পাপন শাকিব তো পতাক্ষাণ করছে তোর সম্যসা টা কই,1,sports
এই তোর মারে চোদি,1,sports
মাগির হোলা,1,sports
এই চুতিয়ার বাচ্চাটা উলটা পালটা কথা বলে।,1,sports
ওই হালা তুই এই সংবাদ কোথায় পাইলি?,1,sports
আবাল চুদা টাইটেল🙄🤔,1,sports
পাপনকে পাছায় লাথি মেরে বাহির করে দেওয়া হোকসালা খানকির বাপ,1,sports
নটিরপুএ পাপনের পুটকিমারো তাহলে ভালো হবে মাদারচিদে চাইসে কি সাকিবের সমান হবি তুই তুই তো আমার ভালেরও ষোগ না মাদারচুদ,1,sports
বাইনচোদ,1,sports
পাপন একটা পাগল ছাগল,1,sports
পাপন বলদ তার পদত্যাগ ছাই,1,sports
কুত্তার বাচ্চাদের ভাবা উচিত ছিল আমরা প্রস্তুতি ম্যাচে তাদের সাথে কত বড় ব্যবধানে হারছি তারমানে তারা অনেক ভালো স্পিনার প্লাস তাদের সাথে ঐরকম ফ্রিজে খেলা উচিত যেখানে রান হয় ওইখানে নিজেদের কারণে নিজেরা ভরাডুবি হয়েছে কারো দোষ নাই,1,sports
রুবেল শালা পতিতার বাচ্চা কুত্তার বাচ্চা জানোয়ের বাচ্চা একটা মেয়ের জিবণ নষ্ট করেছিস তর মা বোনের জিবণ অন্ন পুরুষরা নষ্ট করবে শালা পতিতার বাচ্চা,1,sports
জাইল্ল্যা শালারপুত....,1,sports
"মাগির পোলারে দেকতে কেমন লাগে গরু চোর 
",1,sports
তর মারে তোর বোন কে তোর চৌদ্দ গোষ্ঠী চুদি হানকির পোলা,1,sports
আর কত জনগনের কষ্টের টাকা নষ্ট করে ওরা।।। খানকিরপোলা বিয়ে করে বৌউ নিয়ে হানিমেন করে ঘরের মধ্য বৌউ ও সাথে ভাল খেলে আর বাংলাদেশ জন্য কি বালের ক্রিকেট খেলে।।,1,sports
হালারপোতোমার জন্য দেশের ক্রিকেট ধ্বংসের পথে,1,sports
পাপন শালা পাসিয়ে দিলু,1,sports
মাদারচোদ তুই পদত্যাগ কর,1,sports
খানকিরপলা পাপন।।।মাদারচদ,1,sports
পাপনের মারে চুদি।,1,sports
আমি ভাবছিলাম একজন ভালো ছেলে কিন্তু না সে একটা চুড়ান্ত বেয়াদব তার উবার লাস্ট বলে যে কাজটা করেছে চুড়ান্ত বেয়াদব ছারা কেহ করতে পারেনা। তার উবারে রান নেওয়াতে যে বেয়াদবিটা করলো মনে হয় সে একজন সেরা বলার। গাদা কুতাকার খেলার মধ্যে হার জিত থাকবেই। যে হার জিত মানতে না পারে তার খেলার কোন দরকার নাই। উবার বল করে দিয়ে বেঁটে নেমে বলে রান করেছে আবার ভাব চুদায় বেয়াদব।,1,sports
দেশবাসি মাননীয় প্রধানমন্ত্রীর কথা অবশ্যই মান্য করেকিন্তু পাপইন্না তুই হালা ছেচকা মাগিরপোলা। তোর টাকলা বন্ধুর লগে তোর পাছায় গাজি পাম্প দিয়া পিডাইতে পিডাইতে চামড়া খুইল্লা মুশিরে গ্লাভস বানায় দিতে মন চাইতাসে,1,sports
শুয়োরের বাচ্চাকে গালি দিলে গালির অসম্মান হয়ওর চেহারা দেখলে আজকাল শুয়োরের ছবি মনে পড়ে।জানোয়ারের বাচ্চাকে সরকার জুতা মারবেনাজুতা মারতে হবে আমাদের মতো পাব্লিকের।,1,sports
বাংলাদের খেলা আর দেখবু না সালা পাপন চুর কয় সে জানেনা কয়দিন আগে সে কইলো ফিকসিনের কতা তাহলে বুজা যায় সব তার সাজানো,1,sports
বলদ কোনুদিন মানোষ হয়না,1,sports
দালাল পাপন শালাএমন ভাবে কথা বলতেছে যেন শে কিছুই জানেনা।,1,sports
আবাল মারকা কমেন্ট বাদ দেন।।পাপন যা করছে ভাল করছে।।আজ ক্রিকেটার রা আমাদের কে কি দিয়েছে?? পারেনা বড একটা কাপ দিতে।। আর ভারতের সাথে গেলেতো বিডাল হয়ে যায়।এক টাকা ও দিয়ার দরকার নায়।পারপমস অনুযায়ী টাকা দিবে।তাহলে ভাল হওয়ার চেস্টা করবে।।সালাদের শরীরে তেল জমছে।।,1,sports
ভোকচোদ সাংবাদিক! পাপনের অপর্কমের কথা বলতেই বোকাচোদা স্যারকে অন্য প্রশ্ন করে।,1,sports
আরে গালি দিয়েছে তা বাল হয়েছে মুশরিফ কি চেটের বাল।,1,sports
রুবেলের চেহারাটা দেখতে একদম কুত্তার মতো।,1,sports
দুই বছর পর কল ট্রাকিং এতদিন কি বাল ছিড়ছে আকসু,1,sports
পাপোন আস্তা মাদারিরছোদ,1,sports
ইন্ডিয়া দালাল হালার পো,1,sports
য়ে চামচা কুত্তার বাচ্চা ধরে রাখছে দেখেই তো মনে হচ্ছে হিরোহিনচি খোর,1,sports
বালের প্লিয়ার গুলা। কিছু পারে না। কর বেশি করে নাচানাচি এটাই পারবি সালা কুত্তার দল।,1,sports
তাছকি আপনি একটা পাগল আপনার বিচার হওয়া দরকার। সবায় পাগল হলেও আপনি পাগল হতে পারেন্না,1,sports
পাপন আর পাপনের মা খেলবে মাচোদা,1,sports
তোর হুগার মোধ্য বাস দিমো,1,sports
বালের কুট কুট মোসাদ্দেক একটারে নিছে সিলেট আর পাইছে না আবার কেপ্টেন অ বানাইসে হায়রে বিনোদন 🤣 এর থেকে আমাদের সিলেট এর লকাল প্লেয়ার তান্না আরও অন্যান্য রা অ অনেক ভালো,1,sports
দূর দূর হালার হালা ই কিজাত গেইম । তাছকিন এতো খারাফ আগে জানতাম না,1,sports
সালা গাজাখুর একটা মেয়ে তার ইজ্জত নিয়া মিথ্যা কথা বলে না ♥♥,1,sports
তুই তোর মার গোয়াদি জন্ম নিচত বাইনচোদ,1,sports
শালা ফালতু।,1,sports
মুশফিক কে গালি দিলে লাগে আর আমার নবীকে গালি কুওার বাচ্চারা তা দেখছ না,1,sports
ইবাদত বেয়াদব ছাগলকে আচ্ছা ধোলাই দিছে সৌম্য 😂,1,sports
পাপন মাদারচুদ পাকিস্তানির সন্তান,1,sports
যে এসব আজে বাজে নিউজ দিতেছে তার গুস্টির মারে ছুদি কিচুদিন আগে বলছে মোসুমী মরে গেছে তারপর বলেছে অারেফিন শুবো মরে গেছে অাজ বলতেছে অাশরাফুল,1,sports
তর মারে চুদার কবর কও,1,sports
তোর মাথা খারাপ না কিরে শালা,1,sports
পাপন একটা কাংকি মাগির,1,sports
সব গুলো জারজ আর পতিতা এর জনম,1,sports
"তুগরে কি পুটকি মারসে শালা
",1,sports
পাপন একটা অনেক বড় আবাল। তাকে বি সি বি তে আর দেখতে চাই না।,1,sports
আচ্ছা পাগল কি বুদ্ধিমান না তুই ছাগলরে বেশি বুদ্ধিমান মনে করস না।গরুর বাচ্চা কোথায় কার।,1,sports
পাপন একটা চুর সালা ওকে বিসিবির সভাপতি থেকে বাদ দেওয়া হোক,1,sports
এই বুইড়া হালার খাটাসের লজ্জা শরম কিচ্ছু নাই। সারা দেশের মানুষ পাপন্নার পদত্যাগ চায় বাট হালায় চরম গুটিবাজ। দেশের ক্রিকেট টাকে ধ্বংসের পাঁয়তারা।,1,sports
সবগুলো ক্রিকেটার জামায়াত শিবির নয়তো জামায়াত শিবিরের থেকে টাকা খেয়ে ধর্মঘট করছে। পাপন হারামজাদার কথা শুনে মনে হচ্ছে একদম দুধে ধোয়া তুলসী পাতা। তুই হারামজাদা ক্রিকেট আর তোর নেত্রী বাংলাদেশটাকে ধ্বংস করার কাজে সদা নিয়োজিত। তবে একটা কথা পরিস্কারপ্লেয়ার যেটা ভালো খেলার পর ট্রিট চায় মুখ ভেঙেতাকে কোন সর্থ ছাড়াই আজীবনের জন্য বহিষ্কার ও দেশ ত্যাগে নিষেধাজ্ঞা এমনকি ঐ দিন পর্যন্ত যত টাকা পয়সা বিসিবি থেকে নিয়েছে সব ফিরত নিয়ে নিবে। কারণ ঐ হারামজাদা খেলেই টাকার জন্যদেশ তার কাছে কিছু না।,1,sports
কানকির পুলাদের জুতা মারা দরকার,1,sports
পাপন হইল এক নম্বর হারামি,1,sports
মুশফিকের ডিসিশান দেখলে মনে হয় গাঞ্জাখাই আবাল মিরাজরে ওপেনিং নামায়।,1,sports
তর মারে চুদি,1,sports
পাপনের গালে জুতা মার তালে তালেপাপন হটাও ক্রিকেট বাচাও,1,sports
আমার মতে পত্যক ক্রিকেটার এখন সাকিবের পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার সাকিব না থাকলে খেলা হবে নাদেখি বিসিবি কি করতে পারেআবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোসআর সেখানের মুল শয়তান হল পাপন মাগীর পুলায়,1,sports
ভাই পাপনের পদত্যাগ নিয়ে ভিডিও বানান ঐ শালার পদত্যাগ চাই।,1,sports
কিছু ছাগল পাও লাপা লাপি করে নিরিহ দেখে,1,sports
পাপনের পদত্যাগ চাই সালায় দলটাকে আওয়ামী লীগ বানায় ফালাইতাছে,1,sports
চুরের পোলা শালার পুত,1,sports
তুই একটা ছোট লোক তুই কখনই হ্যাপির জন্য ফিট ছিলিনা তুই হলি আন ফিট বয় সেলেব্রেটি লজা করেনা তোর তোকে তো গাঞ্জা খোরের মতো লাগে শালা রংপুরের মফিজ,1,sports
পাপন কুত্তার বাচ্চার পদতেগ চাই পাপন বাংলাদেশের একটি কলঙ্ক,1,sports
মুশফিকের মায়রে চুদি,1,sports
মুসফিক কি বালের খেলুয়ার। অর থেকে ছিনেমার নায়ক রা ভালো আছে।অদের নিয়ে কত বাজে কথা বলে সবাই তার পরেও কোন মাইন করে না।কি মন চলে মুসফিক।ভাব চুদাই।অর ভাবে টাইম আছে। ভুদার পুলা।সামনে পাইলে অকে গুয়া মারতাম।দেখি আমাকে কি করে।ভুদার পুলা।,1,sports
তর মারে তুই চুদ,1,sports
এখানে একটা প্রতিবন্ধী আছে সালা আগে রাস্তা ঘাটে করতো রোস্ট হ‌ওয়ার পর থেকে এখন আর দেখা জায় না 😁😁😁😁😁😁জনি প্রতিবন্ধী,1,sports
